"Spidermonkey -- tested individually"


"Test a*emaila*"
"Mean time:";"0.05";"0.15";"0.25";"0.5";"1.1";"2.5";"4.1";"8.2";"16.45";"33.25";"66.5";
"Vari time:";"-0.0025000000000000005";"-0.0225";"-0.0625";"-0.25";"-1.2100000000000002";"-6.05";"-16.009999999999998";"-64.03999999999999";"-259.35249999999996";"-1060.5625";"-4242.25";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";


"V8 -- tested as average over 20 tests"

"Test a*emaila*"
"Size of Input:";"2067";"4115";"8211";"16403";"32787";"65555";"131091";"262163";"524307";"1048595";"2097171";
"Mean time:";"0.037500000000000006";"0.04000000000000001";"0.08000000000000003";"0.16499999999999998";"0.3199999999999999";"0.6275000000000001";"1.2099999999999997";"2.34";"4.5";"8.822500000000002";"17.439999999999998";
"Vari time:";"-0.0014062500000000004";"-0.0014750000000000006";"-0.0062750000000000045";"-0.02609999999999999";"-0.09789999999999993";"-0.3726312500000001";"-1.3920999999999992";"-5.211099999999999";"-19.192";"-73.83138125000002";"-289.18909999999994";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test a* only"
"Size of Input:";"1024";"2048";"4096";"8192";"16384";"32768";"65536";"131072";"262144";"524288";"1048576";
"Mean time:";"0.005";"0.005";"0.01";"0.0225";"0.04250000000000001";"0.08250000000000003";"0.16749999999999998";"0.34249999999999986";"0.67";"1.3425000000000005";"2.6774999999999993";
"Vari time:";"-0.000025";"-0.000025";"-0.0001";"-0.00038124999999999997";"-0.0016812500000000007";"-0.0063062500000000046";"-0.026931249999999993";"-0.1128062499999999";"-0.42777500000000007";"-1.7178062500000013";"-6.817881249999997";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test (a+)"
"Size of Input:";"1026";"2050";"4098";"8194";"16386";"32770";"65538";"131074";"262146";"524290";"1048578";
"Mean time:";"0.0025";"0.005";"0.0125";"0.019999999999999997";"0.057500000000000016";"0.12249999999999998";"0.16749999999999998";"0.3324999999999999";"0.6725000000000001";"1.3350000000000004";"2.6825";
"Vari time:";"-0.00000625";"-0.000025";"-0.00003125";"-0.00039999999999999986";"-0.003181250000000002";"-0.014506249999999995";"-0.026056249999999993";"-0.10605624999999994";"-0.43113125000000013";"-1.697725000000001";"-6.844681250000001";
"Test passed?:";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";



"Test email validation"
